list_title,sort_option,imdb_id,tmdb_id,movie_title,release_date,category,listOrder
Academy Award for Best Picture,Release Date (Descending),tt15398776,872585,Oppenheimer,2023-07-19,Academy Awards,97
Academy Award for Best Picture,Release Date (Descending),tt6710474,545611,Everything Everywhere All at Once,2022-03-24,Academy Awards,96
Academy Award for Best Picture,Release Date (Descending),tt10366460,776503,CODA,2021-08-13,Academy Awards,95
Academy Award for Best Picture,Release Date (Descending),tt9770150,581734,Nomadland,2021-01-29,Academy Awards,94
Academy Award for Best Picture,Release Date (Descending),tt6751668,496243,Parasite,2019-05-30,Academy Awards,93
Academy Award for Best Picture,Release Date (Descending),tt6966692,490132,Green Book,2018-11-16,Academy Awards,92
Academy Award for Best Picture,Release Date (Descending),tt5580390,399055,The Shape of Water,2017-12-01,Academy Awards,91
Academy Award for Best Picture,Release Date (Descending),tt4975722,376867,Moonlight,2016-10-21,Academy Awards,90
Academy Award for Best Picture,Release Date (Descending),tt1895587,314365,Spotlight,2015-11-06,Academy Awards,89
Academy Award for Best Picture,Release Date (Descending),tt2562232,194662,Birdman or (The Unexpected Virtue of Ignorance),2014-10-17,Academy Awards,88
Academy Award for Best Picture,Release Date (Descending),tt2024544,76203,12 Years a Slave,2013-10-18,Academy Awards,87
Academy Award for Best Picture,Release Date (Descending),tt1024648,68734,Argo,2012-10-11,Academy Awards,86
Academy Award for Best Picture,Release Date (Descending),tt1655442,74643,The Artist,2011-10-12,Academy Awards,85
Academy Award for Best Picture,Release Date (Descending),tt1504320,45269,The King's Speech,2010-11-26,Academy Awards,84
Academy Award for Best Picture,Release Date (Descending),tt0887912,12162,The Hurt Locker,2008-10-10,Academy Awards,83
Academy Award for Best Picture,Release Date (Descending),tt1010048,12405,Slumdog Millionaire,2008-11-12,Academy Awards,82
Academy Award for Best Picture,Release Date (Descending),tt0477348,6977,No Country for Old Men,2007-06-13,Academy Awards,81
Academy Award for Best Picture,Release Date (Descending),tt0407887,1422,The Departed,2006-10-04,Academy Awards,80
Academy Award for Best Picture,Release Date (Descending),tt0375679,1640,Crash,2005-05-06,Academy Awards,79
Academy Award for Best Picture,Release Date (Descending),tt0405159,70,Million Dollar Baby,2004-12-15,Academy Awards,78
Academy Award for Best Picture,Release Date (Descending),tt0167260,122,The Lord of the Rings: The Return of the King,2003-12-01,Academy Awards,77
Academy Award for Best Picture,Release Date (Descending),tt0299658,1574,Chicago,2002-12-10,Academy Awards,76
Academy Award for Best Picture,Release Date (Descending),tt0268978,453,A Beautiful Mind,2001-12-14,Academy Awards,75
Academy Award for Best Picture,Release Date (Descending),tt0172495,98,Gladiator,2000-05-04,Academy Awards,74
Academy Award for Best Picture,Release Date (Descending),tt0169547,14,American Beauty,1999-09-15,Academy Awards,73
Academy Award for Best Picture,Release Date (Descending),tt0138097,1934,Shakespeare in Love,1998-12-11,Academy Awards,72
Academy Award for Best Picture,Release Date (Descending),tt0120338,597,Titanic,1997-11-18,Academy Awards,71
Academy Award for Best Picture,Release Date (Descending),tt0116209,409,The English Patient,1996-11-14,Academy Awards,70
Academy Award for Best Picture,Release Date (Descending),tt0112573,197,Braveheart,1995-05-24,Academy Awards,69
Academy Award for Best Picture,Release Date (Descending),tt0109830,13,Forrest Gump,1994-06-23,Academy Awards,68
Academy Award for Best Picture,Release Date (Descending),tt0108052,424,Schindler's List,1993-12-15,Academy Awards,67
Academy Award for Best Picture,Release Date (Descending),tt0105695,33,Unforgiven,1992-08-07,Academy Awards,66
Academy Award for Best Picture,Release Date (Descending),tt0102926,274,The Silence of the Lambs,1991-02-14,Academy Awards,65
Academy Award for Best Picture,Release Date (Descending),tt0099348,581,Dances with Wolves,1990-03-30,Academy Awards,64
Academy Award for Best Picture,Release Date (Descending),tt0097239,403,Driving Miss Daisy,1989-12-13,Academy Awards,63
Academy Award for Best Picture,Release Date (Descending),tt0095953,380,Rain Man,1988-12-12,Academy Awards,62
Academy Award for Best Picture,Release Date (Descending),tt0093389,746,The Last Emperor,1987-10-04,Academy Awards,61
Academy Award for Best Picture,Release Date (Descending),tt0091763,792,Platoon,1986-12-19,Academy Awards,60
Academy Award for Best Picture,Release Date (Descending),tt0089755,606,Out of Africa,1985-12-20,Academy Awards,59
Academy Award for Best Picture,Release Date (Descending),tt0086879,279,Amadeus,1984-09-19,Academy Awards,58
Academy Award for Best Picture,Release Date (Descending),tt0086425,11050,Terms of Endearment,1983-11-20,Academy Awards,57
Academy Award for Best Picture,Release Date (Descending),tt0083987,783,Gandhi,1982-12-01,Academy Awards,56
Academy Award for Best Picture,Release Date (Descending),tt0082158,9443,Chariots of Fire,1981-05-15,Academy Awards,55
Academy Award for Best Picture,Release Date (Descending),tt0081283,16619,Ordinary People,1980-09-19,Academy Awards,54
Academy Award for Best Picture,Release Date (Descending),tt0079417,12102,Kramer vs. Kramer,1979-12-07,Academy Awards,53
Academy Award for Best Picture,Release Date (Descending),tt0077416,11778,The Deer Hunter,1978-12-08,Academy Awards,52
Academy Award for Best Picture,Release Date (Descending),tt0075686,703,Annie Hall,1977-04-19,Academy Awards,51
Academy Award for Best Picture,Release Date (Descending),tt0075148,1366,Rocky,1976-11-20,Academy Awards,50
Academy Award for Best Picture,Release Date (Descending),tt0073486,510,One Flew Over the Cuckoo's Nest,1975-11-19,Academy Awards,49
Academy Award for Best Picture,Release Date (Descending),tt0071562,240,The Godfather Part II,1974-12-20,Academy Awards,48
Academy Award for Best Picture,Release Date (Descending),tt0070735,9277,The Sting,1973-12-25,Academy Awards,47
Academy Award for Best Picture,Release Date (Descending),tt0068646,238,The Godfather,1972-03-14,Academy Awards,46
Academy Award for Best Picture,Release Date (Descending),tt0067116,1051,The French Connection,1971-10-09,Academy Awards,45
Academy Award for Best Picture,Release Date (Descending),tt0066206,11202,Patton,1970-01-25,Academy Awards,44
Academy Award for Best Picture,Release Date (Descending),tt0064665,3116,Midnight Cowboy,1969-05-25,Academy Awards,43
Academy Award for Best Picture,Release Date (Descending),tt0063385,17917,Oliver!,1968-09-26,Academy Awards,42
Academy Award for Best Picture,Release Date (Descending),tt0061811,10633,In the Heat of the Night,1967-08-02,Academy Awards,41
Academy Award for Best Picture,Release Date (Descending),tt0060665,874,A Man for All Seasons,1966-12-13,Academy Awards,40
Academy Award for Best Picture,Release Date (Descending),tt0059742,15121,The Sound of Music,1965-03-29,Academy Awards,39
Academy Award for Best Picture,Release Date (Descending),tt0058385,11113,My Fair Lady,1964-10-21,Academy Awards,38
Academy Award for Best Picture,Release Date (Descending),tt0057590,5769,Tom Jones,1963-08-24,Academy Awards,37
Academy Award for Best Picture,Release Date (Descending),tt0056172,947,Lawrence of Arabia,1962-12-11,Academy Awards,36
Academy Award for Best Picture,Release Date (Descending),tt0055614,1725,West Side Story,1961-12-13,Academy Awards,35
Academy Award for Best Picture,Release Date (Descending),tt0053604,284,The Apartment,1960-06-21,Academy Awards,34
Academy Award for Best Picture,Release Date (Descending),tt0052618,665,Ben-Hur,1959-11-18,Academy Awards,33
Academy Award for Best Picture,Release Date (Descending),tt0051658,17281,Gigi,1958-05-15,Academy Awards,32
Academy Award for Best Picture,Release Date (Descending),tt0050212,826,The Bridge on the River Kwai,1957-10-11,Academy Awards,31
Academy Award for Best Picture,Release Date (Descending),tt0048960,2897,Around the World in Eighty Days,1956-10-17,Academy Awards,30
Academy Award for Best Picture,Release Date (Descending),tt0048356,15919,Marty,1955-04-11,Academy Awards,29
Academy Award for Best Picture,Release Date (Descending),tt0047296,654,On the Waterfront,1954-06-22,Academy Awards,28
Academy Award for Best Picture,Release Date (Descending),tt0045793,11426,From Here to Eternity,1953-08-28,Academy Awards,27
Academy Award for Best Picture,Release Date (Descending),tt0044672,27191,The Greatest Show on Earth,1952-02-16,Academy Awards,26
Academy Award for Best Picture,Release Date (Descending),tt0043278,2769,An American in Paris,1951-09-26,Academy Awards,25
Academy Award for Best Picture,Release Date (Descending),tt0042192,705,All About Eve,1950-11-09,Academy Awards,24
Academy Award for Best Picture,Release Date (Descending),tt0041113,25430,All the King's Men,1949-11-16,Academy Awards,23
Academy Award for Best Picture,Release Date (Descending),tt0040416,23383,Hamlet,1948-12-10,Academy Awards,22
Academy Award for Best Picture,Release Date (Descending),tt0039416,33667,Gentleman's Agreement,1947-11-11,Academy Awards,21
Academy Award for Best Picture,Release Date (Descending),tt0036868,887,The Best Years of Our Lives,1946-12-25,Academy Awards,20
Academy Award for Best Picture,Release Date (Descending),tt0037884,28580,The Lost Weekend,1945-11-29,Academy Awards,19
Academy Award for Best Picture,Release Date (Descending),tt0036872,17661,Going My Way,1944-05-15,Academy Awards,18
Academy Award for Best Picture,Release Date (Descending),tt0034583,289,Casablanca,1943-01-15,Academy Awards,17
Academy Award for Best Picture,Release Date (Descending),tt0035093,27367,Mrs. Miniver,1942-07-03,Academy Awards,16
Academy Award for Best Picture,Release Date (Descending),tt0033729,43266,How Green Was My Valley,1941-10-28,Academy Awards,15
Academy Award for Best Picture,Release Date (Descending),tt0032976,223,Rebecca,1940-03-23,Academy Awards,14
Academy Award for Best Picture,Release Date (Descending),tt0031381,770,Gone with the Wind,1939-12-15,Academy Awards,13
Academy Award for Best Picture,Release Date (Descending),tt0030993,34106,You Can't Take It with You,1938-09-01,Academy Awards,12
