list_title,sort_option,imdb_id,tmdb_id,movie_title,release_date,category,listOrder
Movies to Watch on Halloween,Popularity,tt0107688,9479,The Nightmare Before Christmas,1993-10-09,Seasonal,1
Movies to Watch on Halloween,Popularity,tt1142977,62214,Frankenweenie,2012-10-04,Seasonal,2
Movies to Watch on Halloween,Popularity,tt0837562,76492,Hotel Transylvania,2012-09-20,Seasonal,3
Movies to Watch on Halloween,Popularity,tt2510894,159824,Hotel Transylvania 2,2015-09-21,Seasonal,4
Movies to Watch on Halloween,Popularity,tt0162661,2668,Sleepy Hollow,1999-11-19,Seasonal,5
Movies to Watch on Halloween,Popularity,tt1051904,257445,Goosebumps,2015-08-05,Seasonal,6
Movies to Watch on Halloween,Popularity,tt0100944,10166,The Witches,1990-05-25,Seasonal,7
Movies to Watch on Halloween,Popularity,tt0101272,2907,The Addams Family,1991-11-22,Seasonal,8
Movies to Watch on Halloween,Popularity,tt0112642,8839,Casper,1995-05-26,Seasonal,9
Movies to Watch on Halloween,Popularity,tt6644200,447332,A Quiet Place,2018-04-03,Seasonal,10
Movies to Watch on Halloween,Popularity,tt0077651,948,Halloween,1978-10-24,Seasonal,11
Movies to Watch on Halloween,Popularity,tt0082418,9725,Friday the 13th Part 2,1981-05-01,Seasonal,12
Movies to Watch on Halloween,Popularity,tt0087298,9730,Friday the 13th: The Final Chapter,1984-04-13,Seasonal,13
Movies to Watch on Halloween,Popularity,tt5052448,419430,Get Out,2017-02-24,Seasonal,14
Movies to Watch on Halloween,Popularity,tt0365748,747,Shaun of the Dead,2004-04-09,Seasonal,15
Movies to Watch on Halloween,Popularity,tt0298130,565,The Ring,2002-10-18,Seasonal,16
Movies to Watch on Halloween,Popularity,tt0185937,2667,The Blair Witch Project,1999-07-14,Seasonal,17
Movies to Watch on Halloween,Popularity,tt0054215,539,Psycho,1960-06-22,Seasonal,18
Movies to Watch on Halloween,Popularity,tt0081505,694,The Shining,1980-05-23,Seasonal,19
Movies to Watch on Halloween,Popularity,tt0094721,4011,Beetlejuice,1988-03-30,Seasonal,20
Movies to Watch on Halloween,Popularity,tt0107120,10439,Hocus Pocus,1993-07-16,Seasonal,21
Movies to Watch on Halloween,Popularity,tt0117571,4232,Scream,1996-12-20,Seasonal,22
Movies to Watch on Halloween,Popularity,tt0121164,3933,Corpse Bride,2005-09-12,Seasonal,23
Movies to Watch on Halloween,Popularity,tt1396484,346364,It,2017-09-06,Seasonal,24
Movies to Watch on Halloween,Popularity,tt0327597,14836,Coraline,2009-02-05,Seasonal,25
Movies to Watch on Halloween,Popularity,tt0104070,9374,Death Becomes Her,1992-07-30,Seasonal,26
Movies to Watch on Halloween,Popularity,tt0116365,10779,The Frighteners,1996-07-18,Seasonal,27
Movies to Watch on Halloween,Popularity,tt1623288,77174,ParaNorman,2012-08-03,Seasonal,28
Movies to Watch on Halloween,Popularity,tt0082010,814,An American Werewolf in London,1981-08-21,Seasonal,29
Movies to Watch on Halloween,Popularity,tt0089908,13155,Return to Oz,1985-06-21,Seasonal,30
Movies to Watch on Halloween,Popularity,tt0312004,533,Wallace & Gromit: The Curse of the Were-Rabbit,2005-09-04,Seasonal,31
Movies to Watch on Halloween,Popularity,tt0083866,601,E.T. the Extra-Terrestrial,1982-06-11,Seasonal,32
Movies to Watch on Halloween,Popularity,tt0091369,13597,Labyrinth,1986-06-27,Seasonal,33
Movies to Watch on Halloween,Popularity,tt0091419,10776,Little Shop of Horrors,1986-12-19,Seasonal,34
Movies to Watch on Halloween,Popularity,tt0087332,620,Ghostbusters,1984-06-08,Seasonal,35
Movies to Watch on Halloween,Popularity,tt0787474,170687,The Boxtrolls,2014-09-10,Seasonal,36
Movies to Watch on Halloween,Popularity,tt0084516,609,Poltergeist,1982-06-04,Seasonal,37
Movies to Watch on Halloween,Popularity,tt22687790,945729,A Haunting in Venice,2023-09-13,Seasonal,38
Movies to Watch on Halloween,Popularity,tt0093177,9003,Hellraiser,1987-09-11,Seasonal,39
Movies to Watch on Halloween,Popularity,tt0115963,9100,The Craft,1996-05-03,Seasonal,40
Movies to Watch on Halloween,Popularity,tt1695843,616747,Haunted Mansion,2023-07-26,Seasonal,41
Movies to Watch on Halloween,Popularity,tt0338094,10756,The Haunted Mansion,2003-11-26,Seasonal,42
Movies to Watch on Halloween,Popularity,tt14602326,826914,Muppets Haunted Mansion,2021-10-08,Seasonal,43
Movies to Watch on Halloween,Popularity,tt0093560,13509,The Monster Squad,1987-08-14,Seasonal,44
Movies to Watch on Halloween,Popularity,tt0100814,9362,Tremors,1990-01-19,Seasonal,45
Movies to Watch on Halloween,Popularity,tt0385880,9297,Monster House,2006-06-30,Seasonal,46
Movies to Watch on Halloween,Popularity,tt0267913,9637,Scooby-Doo,2002-06-14,Seasonal,47
Movies to Watch on Halloween,Popularity,tt0192255,24100,The Little Vampire,2000-10-27,Seasonal,48
Movies to Watch at Christmas,Popularity,tt0038650,1585,It's a Wonderful Life,1946-12-20,Seasonal,1
Movies to Watch at Christmas,Popularity,tt0095016,562,Die Hard,1988-07-15,Seasonal,2
Movies to Watch at Christmas,Popularity,tt1067106,17979,A Christmas Carol,2009-11-04,Seasonal,3
Movies to Watch at Christmas,Popularity,tt0087056,13189,A Christmas Carol,1984-10-09,Seasonal,4
Movies to Watch at Christmas,Popularity,tt0104940,10437,The Muppet Christmas Carol,1992-12-10,Seasonal,5
Movies to Watch at Christmas,Popularity,tt0087363,927,Gremlins,1984-06-08,Seasonal,6
Movies to Watch at Christmas,Popularity,tt0099785,771,Home Alone,1990-11-16,Seasonal,7
Movies to Watch at Christmas,Popularity,tt0104431,772,Home Alone 2: Lost in New York,1992-11-15,Seasonal,8
Movies to Watch at Christmas,Popularity,tt0097958,5825,National Lampoon's Christmas Vacation,1989-11-30,Seasonal,9
Movies to Watch at Christmas,Popularity,tt0039628,11881,Miracle on 34th Street,1947-06-04,Seasonal,10
Movies to Watch at Christmas,Popularity,tt0319343,10719,Elf,2003-10-09,Seasonal,11
Movies to Watch at Christmas,Popularity,tt0307987,10147,Bad Santa,2003-11-26,Seasonal,12
Movies to Watch at Christmas,Popularity,tt0099487,162,Edward Scissorhands,1990-12-07,Seasonal,13
Movies to Watch at Christmas,Popularity,tt0096061,9647,Scrooged,1988-11-22,Seasonal,14
Movies to Watch at Christmas,Popularity,tt0111070,11395,The Santa Clause,1994-11-11,Seasonal,15
Movies to Watch at Christmas,Popularity,tt0086465,1621,Trading Places,1983-06-07,Seasonal,16
Movies to Watch at Christmas,Popularity,tt0424205,11661,Joyeux Noel,2005-11-09,Seasonal,17
Movies to Watch at Christmas,Popularity,tt0107688,9479,The Nightmare Before Christmas,1993-10-09,Seasonal,18
Movies to Watch at Christmas,Popularity,tt8522006,520172,Happiest Season,2020-11-26,Seasonal,19
Movies to Watch at Christmas,Popularity,tt0037595,13669,Christmas in Connecticut,1945-07-27,Seasonal,20
Movies to Watch at Christmas,Popularity,tt0033045,20334,The Shop Around the Corner,1940-01-12,Seasonal,21
Movies to Watch at Christmas,Popularity,tt0314331,508,Love Actually,2003-09-07,Seasonal,22
Movies to Watch at Christmas,Popularity,tt12003946,899112,Violent Night,2022-11-30,Seasonal,23
Movies to Watch at Christmas,Popularity,tt0338348,5255,The Polar Express,2004-11-10,Seasonal,24
Movies to Watch at Christmas,Popularity,tt14849194,840430,The Holdovers,2023-10-27,Seasonal,25
Movies to Watch at Christmas,Popularity,tt0085334,850,A Christmas Story,1983-11-18,Seasonal,26
Movies to Watch at Christmas,Popularity,tt2990140,527435,The Christmas Chronicles,2018-11-22,Seasonal,27
Movies to Watch at Christmas,Popularity,tt3530002,296100,The Night Before,2015-11-20,Seasonal,28
Movies to Watch at Christmas,Popularity,tt0103776,364,Batman Returns,1992-06-19,Seasonal,29
Movies to Watch at Christmas,Popularity,tt8623904,549053,Last Christmas,2019-11-07,Seasonal,30
Movies to Watch at Christmas,Popularity,tt3850590,287903,Krampus,2015-11-26,Seasonal,31
Movies to Watch at Christmas,Popularity,tt1430607,51052,Arthur Christmas,2011-11-10,Seasonal,32
Movies to Watch at Christmas,Popularity,tt21328106,1022964,Candy Cane Lane,2023-11-29,Seasonal,33
Movies to Watch at Christmas,Popularity,tt0116705,9279,Jingle All the Way,1996-11-21,Seasonal,34
Movies to Watch at Christmas,Popularity,tt0252028,15566,Surviving Christmas,2004-09-21,Seasonal,35
Movies to Watch at Christmas,Popularity,tt0047673,13368,White Christmas,1954-10-14,Seasonal,36
Movies to Watch at Christmas,Popularity,tt0457939,1581,The Holiday,2006-12-08,Seasonal,37
Movies to Watch at Christmas,Popularity,tt5097410,454467,Noelle,2019-11-12,Seasonal,38
Movies to Watch at Christmas,Popularity,tt4729430,508965,Klaus,2019-11-08,Seasonal,39
Movies to Watch at Christmas,Popularity,tt0170016,8871,How the Grinch Stole Christmas,2000-11-17,Seasonal,40
Movies to Watch at Christmas,Popularity,tt2709692,360920,The Grinch,2018-11-08,Seasonal,41
Movies to Watch at Christmas,Popularity,tt0060345,13377,How the Grinch Stole Christmas!,1966-12-18,Seasonal,42
Movies to Watch at Christmas,Popularity,tt0155753,17037,I'll Be Home for Christmas,1998-11-13,Seasonal,43
Movies to Watch at Christmas,Popularity,tt0120663,345,Eyes Wide Shut,1999-07-16,Seasonal,44
Movies to Watch at Christmas,Popularity,tt6433880,461928,Anna and the Apocalypse,2018-11-30,Seasonal,45
Movies to Watch at Christmas,Popularity,tt3281548,331482,Little Women,2019-12-25,Seasonal,46
Movies to Watch at Christmas,Popularity,tt0037059,909,Meet Me in St. Louis,1944-11-28,Seasonal,47
Movies to Watch at Christmas,Popularity,tt10999120,632856,Spirited,2022-11-10,Seasonal,48
