list_title,sort_option,imdb_id,tmdb_id,movie_title,release_date,category,listOrder
Mood Boosters,Popularity,tt0454921,1402,The Pursuit of Happyness,2006-12-14,Thematic,1
Mood Boosters,Popularity,tt0211915,194,Amélie,2001-04-25,Thematic,2
Mood Boosters,Popularity,tt0109830,13,Forrest Gump,1994-06-23,Thematic,3
Mood Boosters,Popularity,tt1675434,77338,The Intouchables,2011-11-02,Thematic,4
Mood Boosters,Popularity,tt0449059,773,Little Miss Sunshine,2006-07-26,Thematic,5
Mood Boosters,Popularity,tt2278388,120467,The Grand Budapest Hotel,2014-02-26,Thematic,6
Mood Boosters,Popularity,tt0332379,1584,School of Rock,2003-10-03,Thematic,7
Mood Boosters,Popularity,tt1049413,14160,Up,2009-05-28,Thematic,8
Mood Boosters,Popularity,tt4468740,346648,Paddington 2,2017-11-09,Thematic,9
Mood Boosters,Popularity,tt3783958,313369,La La Land,2016-11-29,Thematic,10
Mood Boosters,Popularity,tt0249462,71,Billy Elliot,2000-09-28,Thematic,11
Mood Boosters,Popularity,tt0359950,116745,The Secret Life of Walter Mitty,2013-12-18,Thematic,12
Mood Boosters,Popularity,tt3544112,369557,Sing Street,2016-03-11,Thematic,13
Mood Boosters,Popularity,tt2883512,212778,Chef,2014-05-08,Thematic,14
Mood Boosters,Popularity,tt2980648,228194,The Hundred-Foot Journey,2014-08-06,Thematic,15
Mood Boosters,Popularity,tt1135503,24803,Julie & Julia,2009-08-06,Thematic,16
Mood Boosters,Popularity,tt0461770,4523,Enchanted,2007-11-20,Thematic,17
Mood Boosters,Popularity,tt0093779,2493,The Princess Bride,1987-09-25,Thematic,18
Mood Boosters,Popularity,tt0795421,11631,Mamma Mia!,2008-07-03,Thematic,19
Mood Boosters,Popularity,tt4698684,371645,Hunt for the Wilderpeople,2016-03-31,Thematic,20
Dark and Gritty,Popularity,tt0114369,807,Se7en,1995-09-22,Thematic,1
Dark and Gritty,Popularity,tt1392214,146233,Prisoners,2013-09-19,Thematic,2
Dark and Gritty,Popularity,tt2267998,210577,Gone Girl,2014-10-01,Thematic,3
Dark and Gritty,Popularity,tt0443706,1949,Zodiac,2007-03-02,Thematic,4
Dark and Gritty,Popularity,tt2872718,242582,Nightcrawler,2014-10-23,Thematic,5
Dark and Gritty,Popularity,tt1568346,65754,The Girl with the Dragon Tattoo,2011-12-14,Thematic,6
Dark and Gritty,Popularity,tt1132620,15472,The Girl with the Dragon Tattoo,2009-02-27,Thematic,7
Dark and Gritty,Popularity,tt0364569,670,Oldboy,2003-11-21,Thematic,8
Dark and Gritty,Popularity,tt0780504,64690,Drive,2011-09-15,Thematic,9
Dark and Gritty,Popularity,tt0477348,6977,No Country for Old Men,2007-06-13,Thematic,10
Dark and Gritty,Popularity,tt0327056,322,Mystic River,2003-03-03,Thematic,11
Dark and Gritty,Popularity,tt0401792,187,Sin City,2005-04-01,Thematic,12
Dark and Gritty,Popularity,tt0407887,1422,The Departed,2006-10-04,Thematic,13
Dark and Gritty,Popularity,tt3397884,273481,Sicario,2015-09-17,Thematic,14
Dark and Gritty,Popularity,tt0113277,949,Heat,1995-12-15,Thematic,15
Dark and Gritty,Popularity,tt0209144,77,Memento,2000-10-11,Thematic,16
Dark and Gritty,Popularity,tt0083658,78,Blade Runner,1982-06-25,Thematic,17
Dark and Gritty,Popularity,tt1856101,335984,Blade Runner 2049,2017-10-04,Thematic,18
Dark and Gritty,Popularity,tt0102926,274,The Silence of the Lambs,1991-02-14,Thematic,19
Inspiring Movies,Popularity,tt0111161,278,The Shawshank Redemption,1994-09-23,Thematic,1
Inspiring Movies,Popularity,tt0268978,453,A Beautiful Mind,2001-12-14,Thematic,2
Inspiring Movies,Popularity,tt0097165,207,Dead Poets Society,1989-06-02,Thematic,3
Inspiring Movies,Popularity,tt1010048,12405,Slumdog Millionaire,2008-11-12,Thematic,4
Inspiring Movies,Popularity,tt0075148,1366,Rocky,1976-11-20,Thematic,5
Inspiring Movies,Popularity,tt0119217,489,Good Will Hunting,1997-12-05,Thematic,6
Inspiring Movies,Popularity,tt0195685,462,Erin Brockovich,2000-03-17,Thematic,7
Inspiring Movies,Popularity,tt0210945,10637,Remember the Titans,2000-09-29,Thematic,8
Inspiring Movies,Popularity,tt0878804,22881,The Blind Side,2009-11-20,Thematic,9
Inspiring Movies,Popularity,tt2980516,266856,The Theory of Everything,2014-11-26,Thematic,10
Inspiring Movies,Popularity,tt1057500,22954,Invictus,2009-12-11,Thematic,11
Inspiring Movies,Popularity,tt0253474,423,The Pianist,2002-09-17,Thematic,12
Inspiring Movies,Popularity,tt0454876,87827,Life of Pi,2012-11-20,Thematic,13
Inspiring Movies,Popularity,tt0129290,10312,Patch Adams,1998-12-25,Thematic,14
