id,rank,adult,title,tvdbid,imdb_id,mediatype,release_year
51052,1,0,Arthur Christmas,,tt1430607,movie,2011
508965,2,0,Klaus,,tt4729430,movie,2019
5255,3,0,The Polar Express,,tt0338348,movie,2004
109445,4,0,Frozen,,tt2294629,movie,2013
11395,5,0,The Santa Clause,,tt0111070,movie,1994
10437,6,0,The Muppet Christmas Carol,,tt0104940,movie,1992
771,7,0,Home Alone,,tt0099785,movie,1990
10719,8,0,Elf,,tt0319343,movie,2003
9279,9,0,Jingle All the Way,,tt0116705,movie,1996
772,10,0,Home Alone 2: Lost in New York,,tt0104431,movie,1992
527435,11,0,The Christmas Chronicles,,tt2990140,movie,2018
8871,12,0,How the Grinch Stole Christmas,,tt0170016,movie,2000
454467,13,0,Noelle,,tt5097410,movie,2019
360920,14,0,The Grinch,,tt2709692,movie,2018
17037,15,0,I'll Be Home for Christmas,,tt0155753,movie,1998
13377,16,0,How the Grinch Stole Christmas!,,tt0060345,movie,1966
850,17,0,A Christmas Story,,tt0085334,movie,1983
5825,18,0,National Lampoon's Christmas Vacation,,tt0097958,movie,1989
13673,19,0,Christmas with the Kranks,,tt0388419,movie,2004
15566,20,0,Surviving Christmas,,tt0252028,movie,2004
1581,21,0,The Holiday,,tt0457939,movie,2006
508,22,0,Love Actually,,tt0314331,movie,2003
549053,23,0,Last Christmas,,tt8623904,movie,2019
520172,24,0,Happiest Season,,tt8522006,movie,2020
20334,25,0,The Shop Around the Corner,,tt0033045,movie,1940
11881,26,0,Miracle on 34th Street,,tt0039628,movie,1947
13669,27,0,Christmas in Connecticut,,tt0037595,movie,1945
909,28,0,Meet Me in St. Louis,,tt0037059,movie,1944
13368,29,0,White Christmas,,tt0047673,movie,1954
1585,30,0,It's a Wonderful Life,,tt0038650,movie,1946
331482,31,0,Little Women,,tt3281548,movie,2019
13189,32,0,A Christmas Carol,,tt0087056,movie,1984
17979,33,0,A Christmas Carol,,tt1067106,movie,2009
9647,34,0,Scrooged,,tt0096061,movie,1988
632856,35,0,Spirited,,tt10999120,movie,2022
11661,36,0,Joyeux Noel,,tt0424205,movie,2005
162,37,0,Edward Scissorhands,,tt0099487,movie,1990
296100,38,0,The Night Before,,tt3530002,movie,2015
10147,39,0,Bad Santa,,tt0307987,movie,2003
899112,40,0,Violent Night,,tt12003946,movie,2022
287903,41,0,Krampus,,tt3850590,movie,2015
562,42,0,Die Hard,,tt0095016,movie,1988
461928,43,0,Anna and the Apocalypse,,tt6433880,movie,2018
364,44,0,Batman Returns,,tt0103776,movie,1992
345,45,0,Eyes Wide Shut,,tt0120663,movie,1999
1022964,46,0,Candy Cane Lane,,tt21328106,movie,2023
