id,rank,adult,title,tvdbid,imdb_id,mediatype,release_year
376660,1,0,The Edge of Seventeen,,tt1878870,movie,2016
156700,2,0,The Kings of Summer,,tt2179116,movie,2013
369557,3,0,Sing Street,,tt3544112,movie,2016
157386,4,0,The Spectacular Now,,tt1714206,movie,2013
449176,5,0,Love Simon,,tt5164432,movie,2018
9377,6,0,Ferris Bueller's Day Off,,tt0091042,movie,1986
9603,7,0,Clueless,,tt0112697,movie,1995
4951,8,0,10 Things I Hate About You,,tt0147800,movie,1999
8363,9,0,Superbad,,tt0829482,movie,2007
2108,10,0,The Breakfast Club,,tt0088847,movie,1985
147773,11,0,The Way Way Back,,tt1727388,movie,2013
9779,12,0,The Sisterhood of the Traveling Pants,,tt0403508,movie,2005
13751,13,0,Akeelah and the Bee,,tt0437800,movie,2006
391713,14,0,Lady Bird,,tt4925292,movie,2017
85350,15,0,Boyhood,,tt1065073,movie,2014
489925,16,0,Eighth Grade,,tt7014006,movie,2018
84892,17,0,The Perks of Being a Wallflower,,tt1659337,movie,2012
398818,18,0,Call Me by Your Name,,tt5726616,movie,2017
222935,19,0,The Fault in Our Stars,,tt2582846,movie,2014
235,20,0,Stand by Me,,tt0092005,movie,1986
207,21,0,Dead Poets Society,,tt0097165,movie,1989
376867,22,0,Moonlight,,tt4975722,movie,2016
15804,23,0,A Brighter Summer Day,,tt0101985,movie,1991
10625,24,0,Mean Girls,,tt0377092,movie,2004
7326,25,0,Juno,,tt0467406,movie,2007
13466,26,0,October Sky,,tt0132477,movie,1999
4032,27,0,My Girl,,tt0102492,movie,1991
9571,28,0,Dazed and Confused,,tt0106677,movie,1993
1443,29,0,The Virgin Suicides,,tt0159097,movie,2000
673593,30,0,Mean Girls,,tt11762114,movie,2024
