id,rank,adult,title,tvdbid,imdb_id,mediatype,release_year
807,1,0,Se7en,,tt0114369,movie,1995
146233,2,0,Prisoners,,tt1392214,movie,2013
210577,3,0,Gone Girl,,tt2267998,movie,2014
1949,4,0,Zodiac,,tt0443706,movie,2007
242582,5,0,Nightcrawler,,tt2872718,movie,2014
65754,6,0,The Girl with the Dragon Tattoo,,tt1568346,movie,2011
15472,7,0,The Girl with the Dragon Tattoo,,tt1132620,movie,2009
670,8,0,Oldboy,,tt0364569,movie,2003
64690,9,0,Drive,,tt0780504,movie,2011
6977,10,0,No Country for Old Men,,tt0477348,movie,2007
322,11,0,Mystic River,,tt0327056,movie,2003
187,12,0,Sin City,,tt0401792,movie,2005
1422,13,0,The Departed,,tt0407887,movie,2006
273481,14,0,Sicario,,tt3397884,movie,2015
949,15,0,Heat,,tt0113277,movie,1995
77,16,0,Memento,,tt0209144,movie,2000
78,17,0,Blade Runner,,tt0083658,movie,1982
335984,18,0,Blade Runner 2049,,tt1856101,movie,2017
274,19,0,The Silence of the Lambs,,tt0102926,movie,1991
11423,20,0,Memories of Murder,,tt0353969,movie,2003
