id,rank,adult,title,tvdbid,imdb_id,mediatype,release_year
109445,1,0,Frozen,,tt2294629,movie,2013
425,2,0,Ice Age,,tt0268380,movie,2002
9836,3,0,Happy Feet,,tt0366548,movie,2006
5255,4,0,The Polar Express,,tt0338348,movie,2004
21032,5,0,Balto,,tt0112453,movie,1995
864,6,0,Cool Runnings,,tt0106611,movie,1993
411,7,0,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,,tt0363771,movie,2005
1667,8,0,March of the Penguins,,tt0428803,movie,2005
13368,9,0,White Christmas,,tt0047673,movie,1954
9036,10,0,Eight Below,,tt0397313,movie,2006
116745,11,0,The Secret Life of Walter Mitty,,tt0359950,movie,2013
253412,12,0,Everest,,tt2719848,movie,2015
435,13,0,The Day After Tomorrow,,tt0319262,movie,2004
110415,14,0,Snowpiercer,,tt1706620,movie,2013
275,15,0,Fargo,,tt0116282,movie,1996
75174,16,0,The Grey,,tt1601913,movie,2012
273248,17,0,The Hateful Eight,,tt3460252,movie,2015
907,18,0,Doctor Zhivago,,tt0059113,movie,1965
281957,19,0,The Revenant,,tt1663202,movie,2015
1091,20,0,The Thing,,tt0084787,movie,1982
