id,rank,adult,title,tvdbid,imdb_id,mediatype,release_year
9479,1,0,The Nightmare Before Christmas,,tt0107688,movie,1993
62214,2,0,Frankenweenie,,tt1142977,movie,2012
76492,3,0,Hotel Transylvania,,tt0837562,movie,2012
8839,4,0,Casper,,tt0112642,movie,1995
533,5,0,Wallace & Gromit: The Curse of the Were-Rabbit,,tt0312004,movie,2005
170687,6,0,The Boxtrolls,,tt0787474,movie,2014
77174,7,0,ParaNorman,,tt1623288,movie,2012
3933,8,0,Corpse Bride,,tt0121164,movie,2005
2907,9,0,The Addams Family,,tt0101272,movie,1991
24100,10,0,The Little Vampire,,tt0192255,movie,2000
481084,11,0,The Addams Family,,tt1620981,movie,2019
10166,12,0,The Witches,,tt0100944,movie,1990
9637,13,0,Scooby-Doo,,tt0267913,movie,2002
257445,14,0,Goosebumps,,tt1051904,movie,2015
9297,15,0,Monster House,,tt0385880,movie,2006
13155,16,0,Return to Oz,,tt0089908,movie,1985
10439,17,0,Hocus Pocus,,tt0107120,movie,1993
10756,18,0,The Haunted Mansion,,tt0338094,movie,2003
642885,19,0,Hocus Pocus 2,,tt11909878,movie,2022
616747,20,0,Haunted Mansion,,tt1695843,movie,2023
13509,21,0,The Monster Squad,,tt0093560,movie,1987
826914,22,0,Muppets Haunted Mansion,,tt14602326,movie,2021
601,23,0,E.T. the Extra-Terrestrial,,tt0083866,movie,1982
620,24,0,Ghostbusters,,tt0087332,movie,1984
10776,25,0,Little Shop of Horrors,,tt0091419,movie,1986
10779,26,0,The Frighteners,,tt0116365,movie,1996
4011,27,0,Beetlejuice,,tt0094721,movie,1988
9100,28,0,The Craft,,tt0115963,movie,1996
9374,29,0,Death Becomes Her,,tt0104070,movie,1992
2668,30,0,Sleepy Hollow,,tt0162661,movie,1999
13597,31,0,Labyrinth,,tt0091369,movie,1986
9362,32,0,Tremors,,tt0100814,movie,1990
747,33,0,Shaun of the Dead,,tt0365748,movie,2004
6435,34,0,Practical Magic,,tt0120791,movie,1998
945729,35,0,A Haunting in Venice,,tt22687790,movie,2023
310131,36,0,The Witch,,tt4263482,movie,2016
609,37,0,Poltergeist,,tt0084516,movie,1982
447332,38,0,A Quiet Place,,tt6644200,movie,2018
539,39,0,Psycho,,tt0054215,movie,1960
565,40,0,The Ring,,tt0298130,movie,2002
2667,41,0,The Blair Witch Project,,tt0185937,movie,1999
493922,42,0,Hereditary,,tt7784604,movie,2018
138843,43,0,The Conjuring,,tt1457767,movie,2013
242224,44,0,The Babadook,,tt2321549,movie,2014
1008042,45,0,Talk to Me,,tt10638522,movie,2023
23827,46,0,Paranormal Activity,,tt1179904,movie,2007
6114,47,0,Bram Stoker's Dracula,,tt0103874,movie,1992
694,48,0,The Shining,,tt0081505,movie,1980
346364,49,0,It,,tt1396484,movie,2017
948,50,0,Halloween,,tt0077651,movie,1978
9730,51,0,Friday the 13th: The Final Chapter,,tt0087298,movie,1984
377,52,0,A Nightmare on Elm Street,,tt0087800,movie,1984
4232,53,0,Scream,,tt0117571,movie,1996
348,54,0,Alien,,tt0078748,movie,1979
814,55,0,An American Werewolf in London,,tt0082010,movie,1981
419430,56,0,Get Out,,tt5052448,movie,2017
23202,57,0,Trick 'r Treat,,tt0862856,movie,2007
440021,58,0,Happy Death Day,,tt5308322,movie,2017
9003,59,0,Hellraiser,,tt0093177,movie,1987
9552,60,0,The Exorcist,,tt0070047,movie,1973
