id,rank,adult,title,tvdbid,imdb_id,mediatype,release_year
27205,1,0,Inception,,tt1375666,movie,2010
603,2,0,The Matrix,,tt0133093,movie,1999
77,3,0,Memento,,tt0209144,movie,2000
577922,4,0,Tenet,,tt6723592,movie,2020
38,5,0,Eternal Sunshine of the Spotless Mind,,tt0338013,movie,2004
141,6,0,Donnie Darko,,tt0246578,movie,2001
550,7,0,Fight Club,,tt0137523,movie,1999
157336,8,0,Interstellar,,tt0816692,movie,2014
206487,9,0,Predestination,,tt2397535,movie,2014
1124,10,0,The Prestige,,tt0482571,movie,2006
11324,11,0,Shutter Island,,tt1130884,movie,2010
14337,12,0,Primer,,tt0390384,movie,2004
220289,13,0,Coherence,,tt2866360,movie,2013
1018,14,0,Mulholland Drive,,tt0166924,movie,2001
37165,15,0,The Truman Show,,tt0120382,movie,1998
335984,16,0,Blade Runner 2049,,tt1856101,movie,2017
62,17,0,2001: A Space Odyssey,,tt0062622,movie,1968
329865,18,0,Arrival,,tt2543164,movie,2016
745,19,0,The Sixth Sense,,tt0167404,movie,1999
83542,20,0,Cloud Atlas,,tt1371111,movie,2012
1903,21,0,Vanilla Sky,,tt0259711,movie,2001
