id,rank,adult,title,tvdbid,imdb_id,mediatype,release_year
1402,1,0,The Pursuit of Happyness,,tt0454921,movie,2006
194,2,0,Amélie,,tt0211915,movie,2001
13,3,0,Forrest Gump,,tt0109830,movie,1994
77338,4,0,The Intouchables,,tt1675434,movie,2011
773,5,0,Little Miss Sunshine,,tt0449059,movie,2006
120467,6,0,The Grand Budapest Hotel,,tt2278388,movie,2014
1584,7,0,School of Rock,,tt0332379,movie,2003
14160,8,0,Up,,tt1049413,movie,2009
346648,9,0,Paddington 2,,tt4468740,movie,2017
313369,10,0,La La Land,,tt3783958,movie,2016
71,11,0,Billy Elliot,,tt0249462,movie,2000
116745,12,0,The Secret Life of Walter Mitty,,tt0359950,movie,2013
369557,13,0,Sing Street,,tt3544112,movie,2016
212778,14,0,Chef,,tt2883512,movie,2014
228194,15,0,The Hundred-Foot Journey,,tt2980648,movie,2014
24803,16,0,Julie & Julia,,tt1135503,movie,2009
4523,17,0,Enchanted,,tt0461770,movie,2007
2493,18,0,The Princess Bride,,tt0093779,movie,1987
11631,19,0,Mamma Mia!,,tt0795421,movie,2008
371645,20,0,Hunt for the Wilderpeople,,tt4698684,movie,2016
