id,rank,adult,title,tvdbid,imdb_id,mediatype,release_year
773,1,0,Little Miss Sunshine,,tt0449059,movie,2006
380,2,0,Rain Man,,tt0095953,movie,1988
490132,3,0,Green Book,,tt6966692,movie,2018
9675,4,0,Sideways,,tt0375063,movie,2004
4538,5,0,The Darjeeling Limited,,tt0838221,movie,2007
5683,6,0,Pee-wee's Big Adventure,,tt0089791,movie,1985
8467,7,0,Dumb and Dumber,,tt0109686,movie,1994
11153,8,0,National Lampoon's Vacation,,tt0085995,movie,1983
2609,9,0,Planes Trains and Automobiles,,tt0093748,movie,1987
9285,10,0,Road Trip,,tt0215129,movie,2000
786,11,0,Almost Famous,,tt0181875,movie,2000
228970,12,0,Wild,,tt2305051,movie,2014
5915,13,0,Into the Wild,,tt0758758,movie,2007
371645,14,0,Hunt for the Wilderpeople,,tt4698684,movie,2016
1653,15,0,The Motorcycle Diaries,,tt0318462,movie,2004
7453,16,0,The Hitchhiker's Guide to the Galaxy,,tt0371724,movie,2005
17130,17,0,Crossroads,,tt0275022,movie,2002
1541,18,0,Thelma & Louise,,tt0103074,movie,1991
624,19,0,Easy Rider,,tt0064276,movie,1969
19908,20,0,Zombieland,,tt1156398,movie,2009
76341,21,0,Mad Max: Fury Road,,tt1392190,movie,2015
838,22,0,American Graffiti,,tt0069704,movie,1973
