id,rank,adult,title,tvdbid,imdb_id,mediatype,release_year
38,1,0,Eternal Sunshine of the Spotless Mind,,tt0338013,movie,2004
152601,2,0,Her,,tt1798709,movie,2013
153,3,0,Lost in Translation,,tt0335266,movie,2003
4348,4,0,Pride & Prejudice,,tt0414387,movie,2005
76,5,0,Before Sunrise,,tt0112471,movie,1995
313369,6,0,La La Land,,tt3783958,movie,2016
509,7,0,Notting Hill,,tt0125439,movie,1999
703,8,0,Annie Hall,,tt0075686,movie,1977
454,9,0,Romeo + Juliet,,tt0117509,movie,1996
824,10,0,Moulin Rouge!,,tt0203009,movie,2001
64682,11,0,The Great Gatsby,,tt1343092,movie,2013
19913,12,0,(500) Days of Summer,,tt1022603,movie,2009
222935,13,0,The Fault in Our Stars,,tt2582846,movie,2014
10229,14,0,A Walk to Remember,,tt0281358,movie,2002
4584,15,0,Sense and Sensibility,,tt0114388,movie,1995
194,16,0,Amélie,,tt0211915,movie,2001
11036,17,0,The Notebook,,tt0332280,movie,2004
398818,18,0,Call Me by Your Name,,tt5726616,movie,2017
258480,19,0,Carol,,tt2402927,movie,2015
937287,20,0,Challengers,,tt16426418,movie,2024
46705,21,0,Blue Valentine,,tt1120985,movie,2010
597,22,0,Titanic,,tt0120338,movie,1997
142,23,0,Brokeback Mountain,,tt0388795,movie,2005
206296,24,0,The Last Five Years,,tt2474024,movie,2014
4347,25,0,Atonement,,tt0783233,movie,2007
4922,26,0,The Curious Case of Benjamin Button,,tt0421715,movie,2008
409,27,0,The English Patient,,tt0116209,movie,1996
606,28,0,Out of Africa,,tt0089755,movie,1985
688,29,0,The Bridges of Madison County,,tt0112579,movie,1995
