id,rank,adult,title,tvdbid,imdb_id,mediatype,release_year
2323,1,0,Field of Dreams,,tt0097351,movie,1989
11287,2,0,A League of Their Own,,tt0104694,movie,1992
14534,3,0,Rudy,,tt0108002,movie,1993
455,4,0,Bend It Like Beckham,,tt0286499,movie,2002
10637,5,0,Remember the Titans,,tt0210945,movie,2000
864,6,0,Cool Runnings,,tt0106611,movie,1993
109410,7,0,42,,tt0453562,movie,2013
22881,8,0,The Blind Side,,tt0878804,movie,2009
14292,9,0,Miracle,,tt0349825,movie,2004
4464,10,0,Seabiscuit,,tt0329575,movie,2003
60308,11,0,Moneyball,,tt1210166,movie,2011
8489,12,0,Ali,,tt0248667,movie,2001
1366,13,0,Rocky,,tt0075148,movie,1976
312221,14,0,Creed,,tt3076658,movie,2015
45317,15,0,The Fighter,,tt0964517,movie,2010
70,16,0,Million Dollar Baby,,tt0405159,movie,2004
389015,17,0,I Tonya,,tt5580036,movie,2017
59440,18,0,Warrior,,tt1291584,movie,2011
7214,19,0,Coach Carter,,tt0393162,movie,2005
5693,20,0,Hoosiers,,tt0091217,movie,1986
9443,21,0,Chariots of Fire,,tt0082158,movie,1981
13416,22,0,Friday Night Lights,,tt0390022,movie,2004
12163,23,0,The Wrestler,,tt1125849,movie,2008
22954,24,0,Invictus,,tt1057500,movie,2009
