id,rank,adult,title,tvdbid,imdb_id,mediatype,release_year
9880,1,0,The Princess Diaries,,tt0247638,movie,2001
38757,2,0,Tangled,,tt0398286,movie,2010
59860,3,0,Monte Carlo,,tt1067774,movie,2011
10096,4,0,13 Going on 30,,tt0337563,movie,2004
16996,5,0,17 Again,,tt0974661,movie,2009
11631,6,0,Mamma Mia!,,tt0795421,movie,2008
466282,7,0,To All the Boys I've Loved Before,,tt3846674,movie,2018
350,8,0,The Devil Wears Prada,,tt0458352,movie,2006
10934,9,0,Under the Tuscan Sun,,tt0328589,movie,2003
313369,10,0,La La Land,,tt3783958,movie,2016
24803,11,0,Julie & Julia,,tt1135503,movie,2009
38167,12,0,Eat Pray Love,,tt0879870,movie,2010
9726,13,0,A Good Year,,tt0401445,movie,2006
587,14,0,Big Fish,,tt0319061,movie,2003
4348,15,0,Pride & Prejudice,,tt0414387,movie,2005
11236,16,0,The Secret Garden,,tt0108071,movie,1993
194,17,0,Amélie,,tt0211915,movie,2001
19913,18,0,(500) Days of Summer,,tt1022603,movie,2009
331482,19,0,Little Women,,tt3281548,movie,2019
84892,20,0,The Perks of Being a Wallflower,,tt1659337,movie,2012
15121,21,0,The Sound of Music,,tt0059742,movie,1965
