id,rank,adult,title,tvdbid,imdb_id,mediatype,release_year
578,1,0,Jaws,,tt0073195,movie,1975
329,2,0,Jurassic Park,,tt0107290,movie,1993
11,3,0,Star Wars,,tt0076759,movie,1977
602,4,0,Independence Day,,tt0116629,movie,1996
155,5,0,The Dark Knight,,tt0468569,movie,2008
22,6,0,Pirates of the Caribbean: The Curse of the Black Pearl,,tt0325980,movie,2003
744,7,0,Top Gun,,tt0092099,movie,1986
557,8,0,Spider-Man,,tt0145487,movie,2002
19995,9,0,Avatar,,tt0499549,movie,2009
118340,10,0,Guardians of the Galaxy,,tt2015381,movie,2014
1858,11,0,Transformers,,tt0418279,movie,2007
607,12,0,Men in Black,,tt0119654,movie,1997
24428,13,0,The Avengers,,tt0848228,movie,2012
27205,14,0,Inception,,tt1375666,movie,2010
76341,15,0,Mad Max: Fury Road,,tt1392190,movie,2015
671,16,0,Harry Potter and the Philosopher's Stone,,tt0241527,movie,2001
808,17,0,Shrek,,tt0126029,movie,2001
601,18,0,E.T. the Extra-Terrestrial,,tt0083866,movie,1982
8587,19,0,The Lion King,,tt0110357,movie,1994
105,20,0,Back to the Future,,tt0088763,movie,1985
9806,21,0,The Incredibles,,tt0317705,movie,2004
754,22,0,Face/Off,,tt0119094,movie,1997
1637,23,0,Speed,,tt0111257,movie,1994
180,24,0,Minority Report,,tt0181689,movie,2002
860,25,0,WarGames,,tt0086567,movie,1983
56292,26,0,Mission: Impossible - Ghost Protocol,,tt1229238,movie,2011
