id,rank,adult,title,tvdbid,imdb_id,mediatype,release_year
222935,1,0,The Fault in Our Stars,,tt2582846,movie,2014
14306,2,0,Marley & Me,,tt0822832,movie,2008
4032,3,0,My Girl,,tt0102492,movie,1991
10229,4,0,A Walk to Remember,,tt0281358,movie,2002
597,5,0,Titanic,,tt0120338,movie,1997
11036,6,0,The Notebook,,tt0332280,movie,2004
824,7,0,Moulin Rouge!,,tt0203009,movie,2001
28178,8,0,Hachi: A Dog's Tale,,tt1028532,movie,2009
46705,9,0,Blue Valentine,,tt1120985,movie,2010
70,10,0,Million Dollar Baby,,tt0405159,movie,2004
334541,11,0,Manchester by the Sea,,tt4034228,movie,2016
12477,12,0,Grave of the Fireflies,,tt0095327,movie,1988
354912,13,0,Coco,,tt2380307,movie,2017
1402,14,0,The Pursuit of Happyness,,tt0454921,movie,2006
334543,15,0,Lion,,tt3741834,movie,2016
497,16,0,The Green Mile,,tt0120689,movie,1999
1265,17,0,Bridge to Terabithia,,tt0398808,movie,2007
11050,18,0,Terms of Endearment,,tt0086425,movie,1983
14160,19,0,Up,,tt1049413,movie,2009
511809,20,0,West Side Story,,tt3581652,movie,2021
