id,rank,adult,title,tvdbid,imdb_id,mediatype,release_year
639,1,0,When Harry Met Sally,,tt0098635,movie,1989
858,2,0,Sleepless in Seattle,,tt0108160,movie,1993
9489,3,0,You've Got Mail,,tt0128853,movie,1998
4951,4,0,10 Things I Hate About You,,tt0147800,movie,1999
50646,5,0,Crazy Stupid Love,,tt1570728,movie,2011
449176,6,0,Love Simon,,tt5164432,movie,2018
466282,7,0,To All the Boys I've Loved Before,,tt3846674,movie,2018
180296,8,0,They Came Together,,tt2398249,movie,2014
19913,9,0,(500) Days of Summer,,tt1022603,movie,2009
313369,10,0,La La Land,,tt3783958,movie,2016
82693,11,0,Silver Linings Playbook,,tt1045658,movie,2012
2493,12,0,The Princess Bride,,tt0093779,movie,1987
114,13,0,Pretty Woman,,tt0100405,movie,1990
4348,14,0,Pride & Prejudice,,tt0414387,movie,2005
11036,15,0,The Notebook,,tt0332280,movie,2004
597,16,0,Titanic,,tt0120338,movie,1997
10229,17,0,A Walk to Remember,,tt0281358,movie,2002
222935,18,0,The Fault in Our Stars,,tt2582846,movie,2014
296096,19,0,Me Before You,,tt2674426,movie,2016
72570,20,0,The Vow,,tt1606389,movie,2012
454,21,0,Romeo + Juliet,,tt0117509,movie,1996
824,22,0,Moulin Rouge!,,tt0203009,movie,2001
152601,23,0,Her,,tt1798709,movie,2013
