title,sort_option,imdb_id,category,listOrder
Academy Award for Best Picture,Release Date (Descending),tt0018455,Academy Awards,97
Academy Award for Best Picture,Release Date (Descending),tt0018578,Academy Awards,96
Academy Award for Best Picture,Release Date (Descending),tt0019729,Academy Awards,95
Academy Award for Best Picture,Release Date (Descending),tt0020629,Academy Awards,94
Academy Award for Best Picture,Release Date (Descending),tt0021746,Academy Awards,93
Academy Award for Best Picture,Release Date (Descending),tt0022958,Academy Awards,92
Academy Award for Best Picture,Release Date (Descending),tt0023876,Academy Awards,91
Academy Award for Best Picture,Release Date (Descending),tt0025316,Academy Awards,90
Academy Award for Best Picture,Release Date (Descending),tt0026752,Academy Awards,89
Academy Award for Best Picture,Release Date (Descending),tt0027698,Academy Awards,88
Academy Award for Best Picture,Release Date (Descending),tt0029146,Academy Awards,87
Academy Award for Best Picture,Release Date (Descending),tt0030993,Academy Awards,86
Academy Award for Best Picture,Release Date (Descending),tt0031381,Academy Awards,85
Academy Award for Best Picture,Release Date (Descending),tt0032976,Academy Awards,84
Academy Award for Best Picture,Release Date (Descending),tt0033729,Academy Awards,83
Academy Award for Best Picture,Release Date (Descending),tt0035093,Academy Awards,82
Academy Award for Best Picture,Release Date (Descending),tt0034583,Academy Awards,81
Academy Award for Best Picture,Release Date (Descending),tt0036872,Academy Awards,80
Academy Award for Best Picture,Release Date (Descending),tt0037884,Academy Awards,79
Academy Award for Best Picture,Release Date (Descending),tt0036868,Academy Awards,78
Academy Award for Best Picture,Release Date (Descending),tt0039416,Academy Awards,77
Academy Award for Best Picture,Release Date (Descending),tt0040416,Academy Awards,76
Academy Award for Best Picture,Release Date (Descending),tt0041113,Academy Awards,75
Academy Award for Best Picture,Release Date (Descending),tt0042192,Academy Awards,74
Academy Award for Best Picture,Release Date (Descending),tt0043278,Academy Awards,73
Academy Award for Best Picture,Release Date (Descending),tt0044672,Academy Awards,72
Academy Award for Best Picture,Release Date (Descending),tt0045793,Academy Awards,71
Academy Award for Best Picture,Release Date (Descending),tt0047296,Academy Awards,70
Academy Award for Best Picture,Release Date (Descending),tt0048356,Academy Awards,69
Academy Award for Best Picture,Release Date (Descending),tt0048960,Academy Awards,68
Academy Award for Best Picture,Release Date (Descending),tt0050212,Academy Awards,67
Academy Award for Best Picture,Release Date (Descending),tt0051658,Academy Awards,66
Academy Award for Best Picture,Release Date (Descending),tt0052618,Academy Awards,65
Academy Award for Best Picture,Release Date (Descending),tt0053604,Academy Awards,64
Academy Award for Best Picture,Release Date (Descending),tt0055614,Academy Awards,63
Academy Award for Best Picture,Release Date (Descending),tt0056172,Academy Awards,62
Academy Award for Best Picture,Release Date (Descending),tt0057590,Academy Awards,61
Academy Award for Best Picture,Release Date (Descending),tt0058385,Academy Awards,60
Academy Award for Best Picture,Release Date (Descending),tt0059742,Academy Awards,59
Academy Award for Best Picture,Release Date (Descending),tt0060665,Academy Awards,58
Academy Award for Best Picture,Release Date (Descending),tt0061811,Academy Awards,57
Academy Award for Best Picture,Release Date (Descending),tt0063385,Academy Awards,56
Academy Award for Best Picture,Release Date (Descending),tt0064665,Academy Awards,55
